run_id,agent_id,update,distraction_sigs,fitness,fun_cnt,fun_used,inst_entropy,sim_thresh
271,224,100000,0,256.0,31,26.58,5.18381,0.308581
271,147,100000,0,256.0,32,18.17,5.36105,0.223684
271,271,100000,0,97.59,26,7.84,4.84559,0.443643
271,164,100000,0,256.0,32,30.86,5.15692,0.222613
271,44,100000,0,145.26,28,11.01,4.57483,0.0938416
271,477,100000,0,231.44,32,15.67,5.36703,0.716597
271,191,100000,0,256.0,32,26.08,5.00656,0.272354
271,52,100000,0,256.0,32,18.2,5.23929,0.0976039
271,520,100000,0,256.0,32,22.92,5.27145,0.804713
271,370,100000,0,139.33,32,10.13,5.05613,0.55583
271,560,100000,0,256.0,32,28.23,5.26054,0.810936
271,563,100000,0,19.5,28,2.0,5.0557,0.879272
271,114,100000,0,237.02,32,15.84,5.18899,0.189117
271,441,100000,0,166.99,32,13.09,5.17558,0.700823
271,102,100000,0,31.4,5,3.0,3.97097,0.174536
271,280,100000,0,256.0,32,16.0,4.90444,0.445032
271,387,100000,0,247.84,32,23.79,5.33037,0.604109
271,582,100000,0,137.45,32,20.86,5.12207,0.862068
271,295,100000,0,256.0,32,30.72,5.22572,0.442425
271,572,100000,0,129.7,31,10.6,5.09035,0.869298
271,104,100000,0,62.09,5,4.79,3.55887,0.175274
271,365,100000,0,30.29,2,2.0,1,0.560939
271,131,100000,0,240.54,32,30.26,5.06174,0.17921
271,497,100000,0,29.6,28,2.0,5.40643,0.769472
271,552,100000,0,256.0,32,25.24,5.33519,0.8092
271,253,100000,0,256.0,32,22.63,4.97062,0.373621
271,40,100000,0,68.15,24,7.4,4.64895,0.054525
271,190,100000,0,256.0,31,24.54,4.96144,0.273104
271,411,100000,0,256.0,32,16.0,5.01915,0.615223
271,318,100000,0,256.0,30,20.96,5.16774,0.482989
271,157,100000,0,256.0,31,24.54,4.95932,0.213961
271,456,100000,0,256.0,32,25.51,5.37051,0.675254
271,587,100000,0,131.75,32,22.09,4.91799,0.862068
271,333,100000,0,45.34,3,3.0,1.58532,0.506022
271,48,100000,0,256.0,32,17.94,5.28402,0.0976039
271,329,100000,0,253.02,32,29.19,5.20397,0.499375
271,223,100000,0,256.0,32,24.62,5.14675,0.345972
271,308,100000,0,152.69,30,10.51,5.05897,0.471459
